"Year","mean_percent"
"2005",13.8
"2006",13.8828571428571
"2007",13.0314285714286
"2008",14.2314285714286
"2009",15.1657142857143
"2010",16.5314285714286
"2011",17.5257142857143
"2012",17.6085714285714
"2013",17.5714285714286
"2014",17.1542857142857
"2015",16.62
"2016",15.14
"2017",14.3371428571429
"2018",14.0857142857143
"2019",12.76
