"StateFIPS","State","CountyFIPS","County","Year","Percent_Poverty"
6,"California","6007","Butte","2016",19.5
6,"California","6009","Calaveras","2016",13.1
6,"California","6011","Colusa","2016",11.1
6,"California","6013","Contra Costa","2016",8.7
6,"California","6015","Del Norte","2016",23.7
6,"California","6017","El Dorado","2016",8.7
6,"California","6019","Fresno","2016",25.5
6,"California","6021","Glenn","2016",16.7
6,"California","6023","Humboldt","2016",20
6,"California","6025","Imperial","2016",23.6
6,"California","6027","Inyo","2016",12.3
6,"California","6029","Kern","2016",22.4
6,"California","6031","Kings","2016",17.4
6,"California","6033","Lake","2016",20.7
6,"California","6035","Lassen","2016",17.6
6,"California","6037","Los Angeles","2016",16.3
6,"California","6039","Madera","2016",20.4
6,"California","6041","Marin","2016",7.8
6,"California","6043","Mariposa","2016",17.9
6,"California","6045","Mendocino","2016",19
6,"California","6047","Merced","2016",20.3
6,"California","6049","Modoc","2016",18.4
6,"California","6051","Mono","2016",11.5
6,"California","6053","Monterey","2016",12.9
6,"California","6055","Napa","2016",7.9
6,"California","6057","Nevada","2016",10.9
6,"California","6059","Orange","2016",11.1
6,"California","6061","Placer","2016",7.2
6,"California","6063","Plumas","2016",12.6
6,"California","6065","Riverside","2016",15.3
6,"California","6067","Sacramento","2016",16.3
6,"California","6069","San Benito","2016",10.5
6,"California","6071","San Bernardino","2016",17.6
6,"California","6073","San Diego","2016",12.4
6,"California","6075","San Francisco","2016",10.2
6,"California","6077","San Joaquin","2016",14.6
6,"California","6079","San Luis Obispo","2016",11
6,"California","6081","San Mateo","2016",6.6
6,"California","6083","Santa Barbara","2016",13.9
6,"California","6085","Santa Clara","2016",9.3
6,"California","6087","Santa Cruz","2016",13.4
6,"California","6089","Shasta","2016",17.2
6,"California","6091","Sierra","2016",14.4
6,"California","6093","Siskiyou","2016",18.8
6,"California","6095","Solano","2016",11.4
6,"California","6097","Sonoma","2016",9.4
6,"California","6099","Stanislaus","2016",14.5
6,"California","6101","Sutter","2016",17.1
6,"California","6103","Tehama","2016",20.9
6,"California","6105","Trinity","2016",21.3
6,"California","6107","Tulare","2016",24.7
6,"California","6109","Tuolumne","2016",15.4
6,"California","6111","Ventura","2016",9.8
6,"California","6113","Yolo","2016",19
6,"California","6115","Yuba","2016",16.6
6,"California","6001","Alameda","2017",9.3
6,"California","6003","Alpine","2017",18.1
6,"California","6005","Amador","2017",10.9
6,"California","6007","Butte","2017",18.1
6,"California","6009","Calaveras","2017",13.1
6,"California","6011","Colusa","2017",12.2
6,"California","6013","Contra Costa","2017",9.1
6,"California","6015","Del Norte","2017",24.6
6,"California","6017","El Dorado","2017",8.3
6,"California","6019","Fresno","2017",21.1
6,"California","6021","Glenn","2017",14.8
6,"California","6023","Humboldt","2017",19.7
6,"California","6025","Imperial","2017",20.7
6,"California","6027","Inyo","2017",11.8
6,"California","6029","Kern","2017",21.2
6,"California","6031","Kings","2017",18.4
6,"California","6033","Lake","2017",20.2
6,"California","6035","Lassen","2017",16.3
6,"California","6037","Los Angeles","2017",14.9
6,"California","6039","Madera","2017",21.2
6,"California","6041","Marin","2017",7.9
6,"California","6043","Mariposa","2017",15.2
6,"California","6045","Mendocino","2017",16.3
6,"California","6047","Merced","2017",23
6,"California","6049","Modoc","2017",19.2
6,"California","6051","Mono","2017",9.3
6,"California","6053","Monterey","2017",11.9
6,"California","6055","Napa","2017",6.8
6,"California","6057","Nevada","2017",11
6,"California","6059","Orange","2017",11.5
6,"California","6061","Placer","2017",7.8
6,"California","6063","Plumas","2017",14.3
6,"California","6065","Riverside","2017",12.9
6,"California","6067","Sacramento","2017",14.1
6,"California","6069","San Benito","2017",8.4
6,"California","6071","San Bernardino","2017",16
6,"California","6073","San Diego","2017",11.9
6,"California","6075","San Francisco","2017",10.1
6,"California","6077","San Joaquin","2017",15.5
6,"California","6079","San Luis Obispo","2017",11.9
6,"California","6081","San Mateo","2017",6.4
6,"California","6083","Santa Barbara","2017",14.2
6,"California","6085","Santa Clara","2017",7.5
6,"California","6087","Santa Cruz","2017",12.6
6,"California","6089","Shasta","2017",17
6,"California","6091","Sierra","2017",13.7
6,"California","6093","Siskiyou","2017",17.7
6,"California","6095","Solano","2017",10
6,"California","6097","Sonoma","2017",9.3
6,"California","6099","Stanislaus","2017",14
6,"California","6101","Sutter","2017",13.2
6,"California","6103","Tehama","2017",20.1
6,"California","6105","Trinity","2017",20.3
6,"California","6107","Tulare","2017",24
6,"California","6109","Tuolumne","2017",12.2
6,"California","6111","Ventura","2017",9.5
6,"California","6113","Yolo","2017",17.5
6,"California","6115","Yuba","2017",15.3
6,"California","6001","Alameda","2018",9
6,"California","6003","Alpine","2018",17.3
6,"California","6005","Amador","2018",11.8
6,"California","6007","Butte","2018",18.5
6,"California","6009","Calaveras","2018",12.1
6,"California","6011","Colusa","2018",11
6,"California","6013","Contra Costa","2018",7.8
6,"California","6015","Del Norte","2018",20.4
6,"California","6017","El Dorado","2018",8.1
6,"California","6019","Fresno","2018",21.3
6,"California","6021","Glenn","2018",15.4
6,"California","6023","Humboldt","2018",20.3
6,"California","6025","Imperial","2018",21.4
6,"California","6027","Inyo","2018",12.3
6,"California","6029","Kern","2018",20.5
6,"California","6031","Kings","2018",18.8
6,"California","6033","Lake","2018",18.4
6,"California","6035","Lassen","2018",15.8
6,"California","6037","Los Angeles","2018",14.2
6,"California","6039","Madera","2018",20.2
6,"California","6041","Marin","2018",6.6
6,"California","6043","Mariposa","2018",14.9
6,"California","6045","Mendocino","2018",17.5
6,"California","6047","Merced","2018",21.2
6,"California","6049","Modoc","2018",19.1
6,"California","6051","Mono","2018",9.3
6,"California","6053","Monterey","2018",13.3
6,"California","6055","Napa","2018",8.8
6,"California","6057","Nevada","2018",10.3
6,"California","6059","Orange","2018",10.5
6,"California","6061","Placer","2018",7.1
6,"California","6063","Plumas","2018",12.5
6,"California","6065","Riverside","2018",12.7
6,"California","6067","Sacramento","2018",14.3
6,"California","6069","San Benito","2018",8.6
