"Year","mean_percent"
"2013",17.1465517241379
"2014",16.7137931034483
"2015",16.2948275862069
"2016",15.1275862068966
"2017",14.3706896551724
"2018",14.0672413793103
"2019",13.0206896551724
"2020",12.2758620689655
