UNIT,YEAR,ACRES BURNED
San Bernardino,2008,680
Tehama,2008,"1,331"
Fresno,2008,"1,100"
Fresno,2008,331
Santa Clara,2008,"4,270"
Riverside,2008,424
Sonoma,2008,322
Sonoma,2008,989
Tuolumne,2008,"1,346"
Mardera,2008,"3,300"
Butte,2008,"1,600"
Butte,2008,"23,344"
San Mateo,2008,520
San Mateo,2008,630
Mendocino,2008,"1,000"
San Benito,2008,"3,870"
Mendocino,2008,"4,466"
Mendocino,2008,327
Mendocino,2008,373
Mendocino,2008,"7,515"
Mendocino,2008,"3,000"
Mendocino,2008,"3,000"
Sonoma,2008,"4,200"
Shasta,2008,"4,000"
Shasta,2008,"2,054"
Shasta,2008,388
Shasta,2008,557
Shasta,2008,"1,200"
Shasta,2008,"1,148"
Shasta,2008,"6,030"
Mendocino,2008,"3,000"
Shasta,2008,"4,200"
Shasta,2008,"12,980"
Shasta,2008,"1,311"
Shasta,2008,600
Shasta,2008,"1,200"
Shasta,2008,"4,800"
Shasta,2008,"2,400"
Shasta,2008,"4,200"
Shasta,2008,"27,936"
Butte,2008,715
Butte,2008,"3,206"
Butte,2008,"4,000"
Butte,2008,"1,248"
Butte,2008,800
Humboldt,2008,"1,076"
Mendocino,2008,391
Mendocino,2008,"3,000"
Santa Clara,2008,750
Shasta,2008,"1,912"
San Mateo,2008,300
Mendocino,2008,999
Mendocino,2008,"1,000"
Sonoma,2008,"15,000"
Mendocino,2008,469
Mendocino,2008,"3,000"
Lassen  ,2008,"3,000"
Madera,2008,"2,789"
Lassen,2008,"12,500"
Tehama,2008,"13,580"
Mendocino,2008,450
Mendocino,2008,"5,581"
Tulare,2008,450
Lassen,2008,350
Mendocino,2008,"3,000"
Mendocino,2008,750
Mendocino,2008,550
Mendocino,2008,"2,800"
Mendocino,2008,"3,000"
Mendocino,2008,"3,000"
Mendocino,2008,528
Mendocino,2008,391
Mendocino,2008,"3,000"
Mendocino,2008,925
Mendocino,2008,"2,000"
Mendocino,2008,"1,700"
Mendocino,2008,"1,200"
Mendocino,2008,"1,000"
Mendocino,2008,650
Mendocino,2008,"1,000"
Madera,2008,800
Madera,2008,700
Madera,2008,"34,091"
Butte,2008,"2,001"
San Benito,2008,400
Butte,2008,"1,324"
Butte,2008,"1,651"
Butte,2008,"2,000"
Butte,2008,"47,647"
Tulare,2008,600
Tulare,2008,500
Tulare,2008,500
Fresno,2008,946
Nevada,2008,"1,000"
Sonoma,2008,300
San Bernardino,2008,324
Butte,2008,"1,310"
Butte,2008,420
RIverside,2008,"30,305"
